"","y.1","y.2","y.3","y.4","y.5"
"837",0,1,0,0,NA
"838",0,NA,NA,NA,NA
"1003",0,1,0,0,NA
"1004",0,0,0,NA,NA
"5534",0,NA,NA,NA,NA
"5879",0,NA,NA,NA,NA
"5881",1,0,1,0,1
"5882",0,0,0,1,0
"5883",1,0,1,1,0
"6047",0,1,0,0,NA
"6048",1,0,NA,NA,NA
"6222",1,NA,NA,NA,NA
"6891",0,NA,NA,NA,NA
"6898",0,1,NA,NA,NA
"7057",0,NA,NA,NA,NA
"7066",0,NA,NA,NA,NA
"7228",1,1,1,0,0
"7391",0,1,0,1,0
"7392",0,1,0,0,1
"7393",1,NA,NA,NA,NA
"7394",1,0,0,1,0
"7557",0,0,NA,NA,NA
"7558",0,1,0,0,0
"7559",1,NA,NA,NA,NA
"7560",0,0,0,NA,NA
"7697",0,NA,NA,NA,NA
"7718",0,NA,NA,NA,NA
"7720",0,NA,NA,NA,NA
"7723",0,0,1,NA,NA
"7724",0,0,0,NA,NA
"7725",1,NA,NA,NA,NA
"7726",0,0,0,0,NA
"7887",0,0,0,NA,NA
"7888",0,0,1,1,0
"7890",0,NA,NA,NA,NA
"7891",1,0,1,1,0
"7892",0,0,0,1,0
"7894",1,NA,NA,NA,NA
"8051",1,1,1,1,1
"8053",1,1,0,0,1
"8054",0,NA,NA,NA,NA
"8057",0,1,0,0,0
"8058",0,1,NA,NA,NA
"8059",0,1,0,0,1
"8063",1,1,1,NA,NA
"8219",1,0,1,0,0
"8220",1,1,1,0,1
"8224",1,NA,NA,NA,NA
"8231",0,NA,NA,NA,NA
"8385",1,0,0,0,1
"8386",0,0,1,0,0
"8389",0,NA,NA,NA,NA
"8390",0,NA,NA,NA,NA
"8391",1,1,1,0,1
"8392",0,0,NA,NA,NA
"8393",1,0,0,0,0
"8397",0,1,NA,NA,NA
"8557",1,NA,NA,NA,NA
"8560",0,NA,NA,NA,NA
"8726",1,1,1,NA,NA
"8889",0,1,1,1,0
"8890",1,0,0,1,1
"8891",0,NA,NA,NA,NA
"9051",1,NA,NA,NA,NA
"9053",0,0,NA,NA,NA
"9066",1,NA,NA,NA,NA
"9232",1,NA,NA,NA,NA
"9557",0,0,0,0,0
"9720",1,NA,NA,NA,NA
"9722",0,NA,NA,NA,NA
"9723",0,NA,NA,NA,NA
"9890",1,NA,NA,NA,NA
"9897",0,NA,NA,NA,NA
"10056",1,NA,NA,NA,NA
"10188",1,NA,NA,NA,NA
"10384",1,0,0,0,0
"10385",0,1,1,1,NA
"10718",1,NA,NA,NA,NA
"10882",0,NA,NA,NA,NA
"10883",0,0,NA,NA,NA
"10885",0,NA,NA,NA,NA
"11045",1,1,1,0,0
"11050",0,NA,NA,NA,NA
"11051",1,0,NA,NA,NA
"11116",1,NA,NA,NA,NA
"11117",1,NA,NA,NA,NA
"11210",0,0,NA,NA,NA
"11213",0,NA,NA,NA,NA
"11383",0,NA,NA,NA,NA
"11542",0,0,NA,NA,NA
"11543",0,1,1,0,1
"11705",1,1,NA,NA,NA
"11706",0,1,0,0,0
"11707",0,1,0,0,0
"11708",0,0,0,0,0
"11710",1,0,NA,NA,NA
"11871",0,0,NA,NA,NA
"11872",0,0,0,0,0
"11873",0,0,0,0,0
"11874",0,0,0,0,0
"12045",0,NA,NA,NA,NA
"12046",0,1,0,0,0
"12047",1,NA,NA,NA,NA
"12211",0,0,0,0,0
"12212",0,1,0,1,1
"12213",1,0,0,1,0
"12217",1,NA,NA,NA,NA
"12379",0,0,0,0,0
"12380",0,0,1,0,0
"12381",0,1,1,NA,NA
"12543",0,1,0,NA,NA
"12545",0,NA,NA,NA,NA
"12547",1,1,1,0,0
"12769",0,0,NA,NA,NA
"12915",0,NA,NA,NA,NA
"12933",0,0,NA,NA,NA
"13534",1,NA,NA,NA,NA
"13706",1,0,NA,NA,NA
"14379",0,NA,NA,NA,NA
"14381",1,NA,NA,NA,NA
"14545",0,1,0,0,1
"14546",1,1,0,1,0
