"","y.1","y.2","y.3","y.4","y.5"
"28137",0,1,NA,NA,NA
"28857",0,0,0,NA,NA
"28858",1,0,0,NA,NA
"49801",1,0,1,NA,NA
"49802",1,0,NA,NA,NA
"49803",0,0,0,0,NA
"52693",1,0,NA,NA,NA
"54142",0,1,NA,NA,NA
"54855",0,0,1,0,0
"55575",0,0,1,0,0
"55580",1,1,1,0,0
"56297",0,0,0,0,1
"56298",1,0,0,1,0
"56300",0,1,0,1,0
"57018",0,0,0,0,1
"57019",0,0,NA,NA,NA
"57020",0,0,0,0,NA
"57732",0,0,NA,NA,NA
"57734",0,0,NA,NA,NA
"57735",1,0,1,1,0
"57737",0,0,NA,NA,NA
"57738",0,1,0,NA,NA
"57740",0,0,0,0,1
"58454",0,0,NA,NA,NA
"58455",0,0,NA,NA,NA
"58456",0,1,0,0,0
"58459",0,1,1,0,1
"58460",0,0,0,0,1
"59173",1,0,0,0,0
"59175",0,0,1,0,0
"59179",0,0,0,0,0
"59180",1,0,0,0,NA
"59181",1,0,0,0,0
"59185",0,0,0,NA,NA
"59895",0,0,0,0,0
"59896",0,0,0,0,0
"60615",0,0,0,0,0
"60616",0,0,0,0,0
"60621",1,0,0,1,0
"60622",1,0,NA,NA,NA
"60623",0,1,0,0,0
"60627",0,0,NA,NA,NA
"62064",0,1,1,NA,NA
"62781",1,1,0,0,0
"62782",0,0,0,0,1
"63499",1,0,NA,NA,NA
"65665",0,0,0,0,0
"69262",0,0,1,0,0
"69263",0,0,0,0,NA
"71423",0,1,NA,NA,NA
"71427",0,0,0,NA,NA
"71492",0,0,0,0,0
"72139",0,0,0,0,0
"72143",1,0,NA,NA,NA
"72145",0,0,NA,NA,NA
"72210",0,0,NA,NA,NA
"72211",0,0,NA,NA,NA
"72862",0,0,NA,NA,NA
"72864",0,0,0,NA,NA
"73586",0,0,NA,NA,NA
"74298",0,0,NA,NA,NA
"74299",0,0,0,0,0
"75015",0,0,0,0,0
"75016",0,0,0,0,NA
"75017",1,0,0,0,0
"75018",0,0,0,0,0
"75020",0,0,NA,NA,NA
"75734",0,0,NA,NA,NA
"75735",0,0,NA,NA,NA
"75736",0,0,0,0,0
"75737",0,0,0,1,0
"75738",0,0,1,0,0
"76464",1,0,0,0,0
"77183",0,0,0,0,0
"77184",0,0,0,0,0
"77185",0,0,0,0,0
"77905",0,0,0,0,0
"77906",0,0,1,0,0
"77907",0,0,NA,NA,NA
"78623",0,0,0,NA,NA
"78627",0,0,0,0,0
"79403",0,0,NA,NA,NA
"80121",0,0,NA,NA,NA
"82986",0,0,NA,NA,NA
"83659",0,0,0,1,NA
"83664",0,0,NA,NA,NA
"84381",0,1,0,0,0
"85809",0,0,0,0,0
"87273",1,0,0,0,0
"87274",0,0,1,0,0
"87994",0,0,0,1,0
"89438",1,0,0,NA,NA
"91598",0,0,0,NA,NA
"92318",0,0,0,0,0
"93037",0,0,1,0,0
"93038",0,0,0,0,0
