"","y.1","y.2","y.3","y.4","y.5"
"28857",1,0,NA,NA,NA
"50530",0,0,0,0,NA
"54134",1,1,0,NA,NA
"54854",0,0,0,1,0
"54855",1,1,0,0,0
"54856",0,0,NA,NA,NA
"55575",0,1,0,0,NA
"57732",1,0,NA,NA,NA
"57735",0,1,NA,NA,NA
"57743",1,0,0,NA,NA
"57749",0,0,NA,NA,NA
"58454",0,1,NA,NA,NA
"58462",0,0,0,0,NA
"58464",0,1,0,0,0
"58467",0,0,NA,NA,NA
"58468",0,1,NA,NA,NA
"59175",0,0,1,NA,NA
"59895",0,1,NA,NA,NA
"60626",0,0,1,0,1
"60627",0,1,0,1,0
"60628",0,0,0,0,1
"60629",0,0,NA,NA,NA
"61344",0,1,NA,NA,NA
"61346",0,0,0,0,0
"61351",0,0,0,0,0
"62073",1,0,NA,NA,NA
"62078",0,1,NA,NA,NA
"62779",1,1,NA,NA,NA
"62786",0,0,0,0,1
"62787",0,1,NA,NA,NA
"62792",0,1,0,0,0
"62793",1,0,0,1,0
"62794",0,0,0,1,0
"63499",0,0,1,NA,NA
"63510",0,1,0,NA,NA
"63511",0,0,0,0,0
"63513",0,0,1,0,1
"63517",1,0,NA,NA,NA
"63518",1,1,1,NA,NA
"64229",0,0,NA,NA,NA
"64230",1,1,NA,NA,NA
"64232",0,1,0,NA,NA
"64233",1,1,1,1,0
"64234",0,0,1,1,0
"64236",0,1,NA,NA,NA
"64943",0,0,NA,NA,NA
"65660",0,0,NA,NA,NA
"65662",0,1,NA,NA,NA
"67111",0,0,1,0,0
"67112",0,0,0,0,1
"67829",1,1,NA,NA,NA
"67830",1,1,0,0,NA
"67832",1,0,0,0,0
"68547",1,0,0,NA,NA
"69263",0,1,NA,NA,NA
"69267",1,0,0,0,1
"69272",1,1,1,0,NA
"70711",0,0,1,NA,NA
"70712",0,0,0,0,0
"71491",0,0,NA,NA,NA
"71492",0,1,1,0,NA
"72150",0,1,0,0,0
"72151",0,0,0,0,0
"72152",0,1,NA,NA,NA
"72210",0,1,1,NA,NA
"72211",1,0,NA,NA,NA
"72858",0,0,0,1,0
"72871",0,0,0,0,0
"73579",0,0,NA,NA,NA
"73591",0,1,NA,NA,NA
"75744",0,0,0,NA,NA
"76464",0,1,NA,NA,NA
"77184",1,0,0,0,0
"77185",0,1,0,0,0
"80121",0,0,NA,NA,NA
"81506",0,0,0,0,0
"84381",1,1,NA,NA,NA
"87273",1,0,0,0,1
"87274",1,1,0,0,0
